SAMP_HEIGHT,D13C,LITH,BIOSAMPLE,BIOHEIGHT,FIRST_OCCURRENCE,AGE,SEDRATE,NEWH,NEWBH,NEWHC,Udet,UH,nUdet
102.7,4.552182954,,,,,,,,,,2.056666667,24.8,
103.6,4.576051609,,,,,,,,,,2.903333333,25,
104.6,4.454841563,,,,,,,,,,3.133333333,25.2,
105.4,4.540276307,,,,,,,,,,2.336666667,25.4,
106.6,4.327222859,,,,,,,,,,1.786666667,25.6,
110.6,4.251904463,,,,,,,,,,1.843333333,25.8,
111.6,4.295980097,,,,,,,,,,3.223333333,26,
113.6,4.272970312,,,,,,,,,,1.43,26.2,
113.75,4.326721558,,,,,,,,,,2.326666667,26.4,
113.8,4.260489807,,,,,,,,,,1.85,26.6,
113.9,4.027460158,,,,,,,,,,2.68,26.8,
113.91,4.003437915,,,,,,,,,,2.513333333,27.5,
114,4.392919829,,,,,,,,,,1.11,27.75,
115.6,NaN,,,,,,,,,,2.36,28,
116.6,3.48135589,,,,,,,,,,2.576666667,28.25,
117.6,4.105294927,,,,,,,,,,2.03,28.5,
118.6,4.264110171,,,,,,,,,,2.313333333,28.75,
118.82,4.204878525,,,,,,,,,,1.64,29,
118.95,4.209508779,,,,,,,,,,1.396666667,29.4,
119.05,4.235157048,,,,,,,,,,0.793333333,29.6,
119.16,4.38425922,,,,,,,,,,2.2,29.8,
119.6,4.07875653,,,,,,,,,,1.703333333,30,
119.7,4.091038881,,,,,,,,,,2.506666667,30.25,
119.93,4.271486137,,,,,,,,,,2.053333333,30.5,
120.6,4.234696624,,,,,,,,,,1.713333333,30.75,
122.6,4.293416787,,,,,,,,,,2.373333333,31,
123.6,4.336380365,,,,,,,,,,3.61,31.25,
124.6,4.254570334,,,,,,,,,,3.05,31.5,
126.1,4.403815395,,,,,,,,,,2.27,31.75,
129.6,4.139732167,,,,,,,,,,2.036666667,32,
129.7,4.182050804,,,,,,,,,,2.153333333,32.2,
133.6,3.998487486,,,,,,,,,,3.493333333,32.4,
133.85,4.113500955,,,,,,,,,,2.39,32.6,
134,3.866724609,,,,,,,,,,1.796666667,32.8,
134.01,3.827910692,,,,,,,,,,1.043333333,33,
134.25,4.122443861,,,,,,,,,,1.033333333,33.2,
134.6,4.231628328,,,,,,,,,,2.546666667,33.5,
135.6,4.357314767,,,,,,,,,,2.516666667,33.75,
137.6,4.433420813,,,,,,,,,,2.173333333,34,
138.6,4.210360308,,,,,,,,,,2.276666667,34.2,
148.6,NaN,,,,,,,,,,1.78,34.4,
141.6,4.590940437,,,,,,,,,,2.913333333,34.6,
143.6,4.621035918,,,,,,,,,,2.203333333,34.8,
144.6,4.484440191,,,,,,,,,,1.76,35,
146.6,4.594160987,,,,,,,,,,1.726666667,35.2,
146.7,4.574837689,,,,,,,,,,2.01,35.4,
148.6,4.593383613,,,,,,,,,,3.586666667,35.6,
149.6,4.373830967,,,,,,,,,,2.56,35.8,
150.6,4.682115309,,,,,,,,,,2.04,36,
151.6,4.690333263,,,,,,,,,,2.253333333,36.2,
154.6,4.943312993,,,,,,,,,,2.376666667,36.4,
156.7,4.891117877,,,,,,,,,,2.053333333,36.6,
158.6,4.986401727,,,,,,,,,,2.13,36.8,
159.6,4.971742673,,,,,,,,,,1.606666667,37,
160.6,4.489437595,,,,,,,,,,2.343333333,37.2,
161.6,4.777065998,,,,,,,,,,1.36,37.4,
161.7,4.758964287,,,,,,,,,,2.316666667,37.6,
161.85,4.752078974,,,,,,,,,,2.83,37.8,
162.25,4.711655523,,,,,,,,,,3.243333333,38,
162.75,4.609375307,,,,,,,,,,3.816666667,38.2,
163.15,4.754077936,,,,,,,,,,1.493333333,38.4,
163.6,4.737975188,,,,,,,,,,2.22,38.65,
165.3,4.15616623,,,,,,,,,,1.64,38.85,
,,,,,,,,,,,1.68,39,
,,,,,,,,,,,1.36,39.3,
,,,,,,,,,,,1.816666667,39.4,
,,,,,,,,,,,1.706666667,39.6,
,,,,,,,,,,,1.77,39.8,
,,,,,,,,,,,2.716666667,40,
,,,,,,,,,,,2.24,40.2,
,,,,,,,,,,,2.106666667,40.4,
,,,,,,,,,,,0.92,40.6,
,,,,,,,,,,,1.11,40.8,
,,,,,,,,,,,0.753333333,41,
,,,,,,,,,,,0.78,41.2,
,,,,,,,,,,,1.076666667,41.4,
,,,,,,,,,,,1.13,41.6,
,,,,,,,,,,,0.386666667,41.8,
,,,,,,,,,,,0.243333333,42,
,,,,,,,,,,,0.183333333,42.2,
,,,,,,,,,,,0.593333333,42.4,
,,,,,,,,,,,0.706666667,42.6,
,,,,,,,,,,,0.366666667,42.8,
,,,,,,,,,,,0.973333333,43,
,,,,,,,,,,,1.236666667,43.2,
,,,,,,,,,,,0.466666667,43.4,
,,,,,,,,,,,0.933333333,43.6,
,,,,,,,,,,,0.893333333,43.8,
,,,,,,,,,,,0.93,44,
,,,,,,,,,,,0.92,44.2,
,,,,,,,,,,,0.663333333,44.4,
,,,,,,,,,,,0.883333333,44.6,
,,,,,,,,,,,0.8,44.8,
,,,,,,,,,,,1.536666667,45,
,,,,,,,,,,,0.736666667,45.2,
,,,,,,,,,,,1.42,45.4,
,,,,,,,,,,,0.873333333,45.6,
,,,,,,,,,,,1.386666667,45.8,
,,,,,,,,,,,0.743333333,46,
,,,,,,,,,,,0.983333333,46.2,
,,,,,,,,,,,0.693333333,46.4,
,,,,,,,,,,,0.563333333,46.6,
,,,,,,,,,,,0.553333333,46.8,
,,,,,,,,,,,1.166666667,47,
,,,,,,,,,,,1.996666667,47.2,
,,,,,,,,,,,1.146666667,47.4,
,,,,,,,,,,,0.943333333,47.6,
,,,,,,,,,,,1.046666667,47.8,
,,,,,,,,,,,1.083333333,48,
,,,,,,,,,,,1.116666667,48.2,
,,,,,,,,,,,1.346666667,48.4,
,,,,,,,,,,,1.14,48.6,
,,,,,,,,,,,1.096666667,48.8,
,,,,,,,,,,,1.053333333,49,
,,,,,,,,,,,1.52,49.2,
,,,,,,,,,,,1.72,49.4,
,,,,,,,,,,,1.583333333,49.55,
,,,,,,,,,,,1.98,49.85,
,,,,,,,,,,,1.976666667,49.95,
,,,,,,,,,,,1.15,50.25,
,,,,,,,,,,,1.62,50.4,
,,,,,,,,,,,1.563333333,50.6,
,,,,,,,,,,,1.723333333,50.8,
,,,,,,,,,,,1.31,51,
,,,,,,,,,,,0.85,51.2,
,,,,,,,,,,,0.756666667,51.4,
,,,,,,,,,,,0.6,51.6,
,,,,,,,,,,,1.116666667,51.8,
,,,,,,,,,,,1.266666667,52,
,,,,,,,,,,,2.906666667,52.2,
,,,,,,,,,,,3.226666667,52.4,
,,,,,,,,,,,3.61,52.6,
,,,,,,,,,,,2.37,52.8,
,,,,,,,,,,,2.476666667,53,
,,,,,,,,,,,1.763333333,53.2,
,,,,,,,,,,,3.336666667,53.4,
,,,,,,,,,,,4.373333333,53.6,
,,,,,,,,,,,3.52,53.8,
,,,,,,,,,,,4.156666667,54,
,,,,,,,,,,,5.296666667,54.2,
,,,,,,,,,,,4.976666667,54.4,
,,,,,,,,,,,6.367777778,55,
,,,,,,,,,,,5.653333333,55.225,
,,,,,,,,,,,3.153333333,55.42,
,,,,,,,,,,,2.283333333,55.62,
,,,,,,,,,,,2.04,55.825,
,,,,,,,,,,,1.607777778,56,
,,,,,,,,,,,2.101111111,56.175,
,,,,,,,,,,,2.264444444,56.4,
,,,,,,,,,,,1.731111111,56.58,
,,,,,,,,,,,1.261111111,56.775,
,,,,,,,,,,,1.354444444,57,
,,,,,,,,,,,1.632222222,57.2,
,,,,,,,,,,,1.365555556,57.4,
,,,,,,,,,,,1.64,57.625,
,,,,,,,,,,,1.345555556,57.8,
,,,,,,,,,,,1.438888889,58,
,,,,,,,,,,,1.39,58.2,
,,,,,,,,,,,1.391111111,58.425,
,,,,,,,,,,,0.905555556,58.625,
,,,,,,,,,,,0.649166667,58.775,
,,,,,,,,,,,1.121111111,59,
,,,,,,,,,,,1.433333333,59.225,
,,,,,,,,,,,1.113333333,59.45,
,,,,,,,,,,,0.621111111,59.575,
,,,,,,,,,,,0.671111111,59.775,
,,,,,,,,,,,0.555555556,59.975,
,,,,,,,,,,,1.004444444,60.175,
,,,,,,,,,,,1.525555556,60.325,
,,,,,,,,,,,1.116666667,60.575,
,,,,,,,,,,,1.083333333,60.8,
,,,,,,,,,,,0.905555556,60.975,
,,,,,,,,,,,1.236666667,61.15,
,,,,,,,,,,,1.523333333,61.25,
,,,,,,,,,,,2.105555556,61.5,
,,,,,,,,,,,2.413333333,61.55,
,,,,,,,,,,,1.573333333,61.65,
,,,,,,,,,,,1.29,61.825,
,,,,,,,,,,,0.644444444,62,
,,,,,,,,,,,0.956666667,62.225,
,,,,,,,,,,,0.845555556,62.45,
,,,,,,,,,,,0.632222222,62.575,
,,,,,,,,,,,0.673333333,62.775,
,,,,,,,,,,,0.701111111,63,
,,,,,,,,,,,0.905555556,63.15,
,,,,,,,,,,,0.914444444,63.375,
,,,,,,,,,,,1.186666667,63.575,
,,,,,,,,,,,1.697777778,63.75,
,,,,,,,,,,,1.955555556,63.975,
,,,,,,,,,,,1.854444444,64.175,
,,,,,,,,,,,1.888888889,64.35,
,,,,,,,,,,,1.2,64.5,
,,,,,,,,,,,1.091111111,64.8,
,,,,,,,,,,,1.147777778,65,
,,,,,,,,,,,1.181111111,65.2,
,,,,,,,,,,,1.344444444,65.4,
,,,,,,,,,,,1.236666667,65.575,
,,,,,,,,,,,1.643333333,65.775,
,,,,,,,,,,,1.184444444,65.975,
,,,,,,,,,,,0.847777778,66.2,
,,,,,,,,,,,1.107777778,66.425,
,,,,,,,,,,,1.255555556,66.6,
,,,,,,,,,,,1.052222222,66.775,
,,,,,,,,,,,1.05,67,
,,,,,,,,,,,1.695555556,67.225,
,,,,,,,,,,,0.91,67.5,
,,,,,,,,,,,1.104444444,67.675,
,,,,,,,,,,,0.964444444,67.85,
,,,,,,,,,,,1.164444444,68.05,
,,,,,,,,,,,0.953333333,68.225,
,,,,,,,,,,,1.44,68.425,
,,,,,,,,,,,1.103333333,68.625,
,,,,,,,,,,,1.402222222,68.8,
,,,,,,,,,,,0.913333333,69,
,,,,,,,,,,,0.922222222,69.2,
,,,,,,,,,,,0.727777778,69.425,
,,,,,,,,,,,0.906666667,69.6,
,,,,,,,,,,,1.132222222,69.8,
,,,,,,,,,,,1.217777778,70,
,,,,,,,,,,,0.704444444,70.175,
,,,,,,,,,,,0.701111111,70.375,
,,,,,,,,,,,0.521111111,70.575,
,,,,,,,,,,,0.768888889,70.775,
,,,,,,,,,,,0.685555556,71,
,,,,,,,,,,,0.701111111,71.225,
,,,,,,,,,,,0.745555556,71.4,
,,,,,,,,,,,0.778888889,71.625,
,,,,,,,,,,,0.562222222,71.8,
,,,,,,,,,,,0.836666667,71.95,
,,,,,,,,,,,0.905555556,72.15,
,,,,,,,,,,,0.678888889,72.35,
,,,,,,,,,,,0.934444444,72.675,
,,,,,,,,,,,0.747777778,72.825,
,,,,,,,,,,,0.811111111,73,
,,,,,,,,,,,0.917777778,73.2,
,,,,,,,,,,,0.917777778,73.4,
,,,,,,,,,,,0.872222222,73.625,
,,,,,,,,,,,0.493333333,73.85,
,,,,,,,,,,,0.375555556,74.025,
,,,,,,,,,,,0.571111111,74.225,
,,,,,,,,,,,0.47,74.375,
,,,,,,,,,,,0.95,74.6,
