SAMP_HEIGHT,D13C,LITH,BIOSAMPLE,BIOHEIGHT,FIRST_OCCURRENCE,AGE,SEDRATE,NEWH,NEWBH,NEWHC,Udet,UH,nUdet
,,,,,,,,,,,0.186666667,120,
,,,,,,,,,,,0.103333333,120.2,
,,,,,,,,,,,0.313333333,120.4,
,,,,,,,,,,,0.193333333,120.6,
,,,,,,,,,,,0.226666667,120.8,
,,,,,,,,,,,0.643333333,121,
,,,,,,,,,,,0.213333333,121.2,
,,,,,,,,,,,0.73,121.4,
,,,,,,,,,,,0.526666667,121.6,
,,,,,,,,,,,0.223333333,121.8,
,,,,,,,,,,,0.18,122,
,,,,,,,,,,,0.696666667,122.2,
,,,,,,,,,,,0.676666667,122.4,
,,,,,,,,,,,0.64,122.6,
,,,,,,,,,,,0.34,122.8,
,,,,,,,,,,,0.306666667,123,
,,,,,,,,,,,0.62,123.2,
,,,,,,,,,,,0.556666667,123.4,
,,,,,,,,,,,0.323333333,123.6,
,,,,,,,,,,,0.446666667,123.8,
,,,,,,,,,,,0.49,124,
,,,,,,,,,,,0.523333333,124.2,
,,,,,,,,,,,0.24,124.4,
,,,,,,,,,,,0.43,124.6,
,,,,,,,,,,,0.326666667,124.8,
,,,,,,,,,,,0.31,125,
,,,,,,,,,,,0.77,125.2,
,,,,,,,,,,,0.453333333,125.4,
,,,,,,,,,,,0.363333333,125.6,
,,,,,,,,,,,0.75,125.8,
,,,,,,,,,,,0.753333333,126,
,,,,,,,,,,,0.756666667,126.2,
,,,,,,,,,,,0.7,126.4,
,,,,,,,,,,,0.243333333,126.6,
,,,,,,,,,,,0.233333333,126.8,
,,,,,,,,,,,0.316666667,127,
,,,,,,,,,,,0.473333333,127.2,
,,,,,,,,,,,0.626666667,127.4,
,,,,,,,,,,,0.116666667,127.6,
,,,,,,,,,,,0.57,127.8,
,,,,,,,,,,,0.463333333,128,
,,,,,,,,,,,0.553333333,128.2,
,,,,,,,,,,,0.45,128.4,
,,,,,,,,,,,0.48,128.6,
,,,,,,,,,,,0.7,128.8,
,,,,,,,,,,,0.486666667,129,
,,,,,,,,,,,0.693333333,129.2,
,,,,,,,,,,,0.57,129.4,
,,,,,,,,,,,0.953333333,129.6,
,,,,,,,,,,,0.84,129.8,
,,,,,,,,,,,0.496666667,130,
,,,,,,,,,,,0.636666667,130.2,
,,,,,,,,,,,0.29,130.4,
,,,,,,,,,,,0.736666667,130.5,
,,,,,,,,,,,0.336666667,130.6,
,,,,,,,,,,,0.103333333,130.8,
,,,,,,,,,,,0,131,
,,,,,,,,,,,0.223333333,131.2,
,,,,,,,,,,,0.283333333,131.4,
,,,,,,,,,,,0.453333333,131.6,
,,,,,,,,,,,0.126666667,131.8,
,,,,,,,,,,,0.453333333,132,
,,,,,,,,,,,0.51,132.2,
,,,,,,,,,,,0.316666667,132.4,
,,,,,,,,,,,0.623333333,132.6,
,,,,,,,,,,,0.203333333,132.8,
,,,,,,,,,,,0.616666667,133,
,,,,,,,,,,,0.883333333,133.2,
,,,,,,,,,,,0.996666667,133.4,
,,,,,,,,,,,0.196666667,133.6,
,,,,,,,,,,,0.816666667,133.8,
,,,,,,,,,,,1.34,133.9,
,,,,,,,,,,,0.326666667,134,
,,,,,,,,,,,0.376666667,134.2,
,,,,,,,,,,,0.72,134.4,
,,,,,,,,,,,0.476666667,134.6,
,,,,,,,,,,,0.933333333,134.8,
,,,,,,,,,,,0.91,135,
,,,,,,,,,,,1.296666667,135.2,
,,,,,,,,,,,0.706666667,135.4,
,,,,,,,,,,,0.73,135.6,
,,,,,,,,,,,0.493333333,135.7,
,,,,,,,,,,,0.39,135.8,
,,,,,,,,,,,0.356666667,136,
,,,,,,,,,,,0.746666667,136.2,
,,,,,,,,,,,0.66,136.4,
,,,,,,,,,,,0.75,136.6,
,,,,,,,,,,,0.63,136.8,
,,,,,,,,,,,1.083333333,137,
,,,,,,,,,,,0.78,137.2,
,,,,,,,,,,,0.456666667,137.4,
,,,,,,,,,,,0.46,137.6,
,,,,,,,,,,,0.39,137.8,
,,,,,,,,,,,0.516666667,138,
,,,,,,,,,,,0.356666667,138.2,
,,,,,,,,,,,0.516666667,138.4,
,,,,,,,,,,,0.223333333,138.6,
,,,,,,,,,,,0.44,138.8,
,,,,,,,,,,,0.54,139,
,,,,,,,,,,,0.336666667,139.2,
,,,,,,,,,,,0.203333333,139.4,
,,,,,,,,,,,0.25,139.6,
,,,,,,,,,,,0.816666667,139.8,
,,,,,,,,,,,0.613333333,140,
,,,,,,,,,,,0.61,140.2,
,,,,,,,,,,,0.176666667,140.4,
,,,,,,,,,,,0.506666667,140.6,
,,,,,,,,,,,0.67,140.8,
,,,,,,,,,,,0.706666667,141,
,,,,,,,,,,,0.496666667,141.2,
,,,,,,,,,,,0.826666667,141.4,
,,,,,,,,,,,0.333333333,141.6,
,,,,,,,,,,,0.413333333,141.8,
,,,,,,,,,,,0.856666667,142,
,,,,,,,,,,,0.403333333,142.2,
,,,,,,,,,,,0.75,142.3,
,,,,,,,,,,,0.236666667,142.4,
,,,,,,,,,,,0.076666667,142.6,
,,,,,,,,,,,0.68,142.8,
,,,,,,,,,,,0.606666667,143,
,,,,,,,,,,,0.076666667,143.2,
,,,,,,,,,,,0.323333333,143.4,
,,,,,,,,,,,0.583333333,143.6,
,,,,,,,,,,,0.4,143.8,
,,,,,,,,,,,0.513333333,144,
,,,,,,,,,,,0.49,144.2,
,,,,,,,,,,,0.5,144.4,
,,,,,,,,,,,0.643333333,144.6,
,,,,,,,,,,,0.426666667,144.8,
,,,,,,,,,,,0.533333333,145,
,,,,,,,,,,,0.34,145.2,
,,,,,,,,,,,0.38,145.4,
,,,,,,,,,,,0.333333333,145.6,
,,,,,,,,,,,0.513333333,145.8,
,,,,,,,,,,,0.58,146,
,,,,,,,,,,,0.79,146.2,
,,,,,,,,,,,1.256666667,146.4,
,,,,,,,,,,,0.756666667,146.6,
,,,,,,,,,,,1.273333333,146.8,
,,,,,,,,,,,0.34,147,
,,,,,,,,,,,0.816666667,147.2,
,,,,,,,,,,,1.07,147.4,
,,,,,,,,,,,0.4,147.6,
,,,,,,,,,,,0.816666667,147.8,
,,,,,,,,,,,0.713333333,148,
,,,,,,,,,,,0.87,148.2,
,,,,,,,,,,,1.21,148.4,
,,,,,,,,,,,0.483333333,148.6,
,,,,,,,,,,,0.83,148.8,
,,,,,,,,,,,1.19,149,
,,,,,,,,,,,1.363333333,149.2,
,,,,,,,,,,,0.953333333,149.4,
,,,,,,,,,,,1.596666667,149.6,
,,,,,,,,,,,3.27,149.7,
,,,,,,,,,,,3.4,149.8,
,,,,,,,,,,,2.69,149.9,
,,,,,,,,,,,1.626666667,150,
,,,,,,,,,,,1.01,150.2,
,,,,,,,,,,,0.37,150.4,
,,,,,,,,,,,1,150.6,
,,,,,,,,,,,0.666666667,150.8,
,,,,,,,,,,,0.59,151,
,,,,,,,,,,,0.773333333,151.2,
,,,,,,,,,,,0.5,151.4,
,,,,,,,,,,,0.453333333,151.6,
,,,,,,,,,,,0.566666667,151.8,
,,,,,,,,,,,0.313333333,152,
,,,,,,,,,,,0.533333333,152.2,
,,,,,,,,,,,0.39,152.4,
,,,,,,,,,,,0.58,152.6,
,,,,,,,,,,,0.586666667,152.8,
,,,,,,,,,,,0.636666667,153,
,,,,,,,,,,,0.223333333,153.2,
,,,,,,,,,,,0.373333333,153.4,
,,,,,,,,,,,0.65,153.6,
,,,,,,,,,,,0.463333333,153.8,
,,,,,,,,,,,0.723333333,154,
,,,,,,,,,,,0.546666667,154.2,
,,,,,,,,,,,0.423333333,154.4,
,,,,,,,,,,,0.633333333,154.6,
,,,,,,,,,,,0.756666667,154.8,
,,,,,,,,,,,0.49,155,
,,,,,,,,,,,0.7,155.2,
,,,,,,,,,,,0.623333333,155.4,
,,,,,,,,,,,0.463333333,155.6,
,,,,,,,,,,,0.533333333,155.8,
,,,,,,,,,,,0.386666667,156,
,,,,,,,,,,,0.306666667,156.2,
,,,,,,,,,,,0.52,156.4,
,,,,,,,,,,,0.886666667,156.6,
,,,,,,,,,,,0.303333333,156.8,
,,,,,,,,,,,0.463333333,157,
,,,,,,,,,,,0.103333333,157.2,
,,,,,,,,,,,0.426666667,157.4,
,,,,,,,,,,,0.303333333,157.6,
,,,,,,,,,,,0.506666667,157.8,
,,,,,,,,,,,0.066666667,158,
,,,,,,,,,,,0.603333333,158.2,
,,,,,,,,,,,0.003333333,158.4,
,,,,,,,,,,,0.263333333,158.6,
,,,,,,,,,,,0.676666667,158.8,
,,,,,,,,,,,0.43,159,
,,,,,,,,,,,0.97,159.2,
,,,,,,,,,,,0.543333333,159.4,
,,,,,,,,,,,0.623333333,159.6,
,,,,,,,,,,,0.32,159.8,
,,,,,,,,,,,0.4,160,
,,,,,,,,,,,0.713333333,160.2,
,,,,,,,,,,,0.573333333,160.4,
,,,,,,,,,,,0.586666667,160.6,
,,,,,,,,,,,0.303333333,160.8,
,,,,,,,,,,,0.586666667,161,
,,,,,,,,,,,0.51,161.2,
,,,,,,,,,,,0.706666667,161.4,
,,,,,,,,,,,0.333333333,161.6,
,,,,,,,,,,,0.786666667,161.8,
,,,,,,,,,,,0.656666667,162,
,,,,,,,,,,,0.386666667,162.2,
,,,,,,,,,,,1.076666667,162.4,
,,,,,,,,,,,0.986666667,162.6,
,,,,,,,,,,,0.356666667,162.8,
,,,,,,,,,,,0.436666667,163,
,,,,,,,,,,,0.6,163.2,
,,,,,,,,,,,0.66,163.4,
,,,,,,,,,,,0.546666667,163.6,
,,,,,,,,,,,0.476666667,163.8,
,,,,,,,,,,,0.196666667,164,
,,,,,,,,,,,0.273333333,164.2,
,,,,,,,,,,,0.526666667,164.4,
,,,,,,,,,,,0.35,164.6,
,,,,,,,,,,,0.273333333,164.8,
,,,,,,,,,,,0.113333333,165,
,,,,,,,,,,,0.426666667,165.2,
,,,,,,,,,,,0.513333333,165.4,
,,,,,,,,,,,0.613333333,165.6,
,,,,,,,,,,,0.56,165.8,
,,,,,,,,,,,0.386666667,166,
,,,,,,,,,,,0.653333333,166.2,
,,,,,,,,,,,0.453333333,166.4,
