SAMPLE,LAYER,D13C,STDC,D18O,STDO,SAMP_HEIGHT,BIOHEIGHT,FIRST_OCCURRENCE
LB5-9.97,105,1.793265915,0.056724812,-2.214159424,0.149818742,32.09,,
LB5-10.21,106,3.859335264,0.026922532,-2.616019931,0.108327988,32.33,,
LB5-10.50,108,3.9014925,0.043823761,-2.243703638,0.123907409,32.62,,
LB5-10.78,108,3.935949892,0.110702789,-3.918311599,0.382853249,32.9,,
LB5-10.96,110,4.298392938,0.045539818,-1.359521189,0.139854092,33.08,,
LB5-11.10,110,2.223743626,0.077658992,-3.296845968,0.181797211,33.22,,
LB5-11.31,110,4.054419782,0.065107468,-1.050901415,0.095638527,33.43,,
LB5-11.66,111,4.497475926,0.030087803,-1.395157829,0.191932931,33.78,,
LB5-11.98,112,3.28860064,0.078198871,-2.549839127,0.252246307,34.1,,
LB5-12.23,114,NaN,NaN,NaN,NaN,34.35,,
LB5-12.51,115,4.121835565,0.032967754,-1.640034006,0.127722306,34.63,,
LB5-12.81,115,3.792679185,0.062826868,-0.626969504,0.078290261,34.93,,
LB5-13.01,115,3.512153919,0.03210076,-1.603624815,0.14790966,35.13,,
LB5-13.31,117,4.820535678,0.05377181,-0.307604863,0.255840206,35.43,,
LB5-13.61,118,4.377437488,0.02650636,-0.880373714,0.137480729,35.73,,
LB5-13.94,119,4.72879758,0.052933318,0.510629994,0.231459746,36.06,,
LB5-14.26,119,4.605261357,0.070311308,-1.162885635,0.160097512,36.38,,
LB5-14.52,119,4.595649498,0.060536475,-1.815295557,0.410030425,36.64,,
LB5-14.91,119,3.634533115,0.051181096,-3.221204468,0.177915973,37.03,,
LB5-15.16,119,4.508196239,0.022381089,0.167542839,0.124044135,37.28,,
LB5-15.48,119,NaN,NaN,NaN,NaN,37.6,,
LB5-15.80,119,NaN,NaN,NaN,NaN,37.92,,
LB5-16.12,119,4.41233354,0.071305398,-1.985184121,0.104649379,38.24,,
LB5-16.50,119,3.781265842,0.066715101,-3.808637488,0.208552183,38.62,,
LB5-16.80,119,3.987907789,0.03902832,-3.257038306,0.121342256,38.92,,
LB5-17.07,119,1.629075916,0.055261332,-1.622895142,0.121195645,39.19,,
LB5-17.37,121,4.122611742,0.06321148,-2.983779896,0.260255959,39.49,,
LB5-17.67,121,4.301001648,0.081347195,-0.882840857,0.252649945,39.79,,
LB5-17.95,121,4.177091832,0.061388963,-1.446332753,0.113312308,40.07,,
LB5-18.25,121,4.482472086,0.082091911,-1.738560957,0.193742809,40.37,,
LB5-18.55,121,4.570826249,0.035463618,-0.849408985,0.163437479,40.67,,
LB5-18.60,121,NaN,NaN,NaN,NaN,40.72,,
LB5-18.96,121,4.592991495,0.079635851,0.639519536,0.13000235,41.08,,
LB5-19.26,121,0.737866421,0.019407779,-2.21028985,0.079520572,41.38,,
LB5-19.56,121,4.385015017,0.126190922,-0.378480192,0.439844394,41.68,,
LB5-19.86,121,NaN,NaN,NaN,NaN,41.98,,
