D13C,SAMP_HEIGHT,BIOSAMPLE,BIOHEIGHT,FIRST_OCCURRENCE,AGE,BIOSTRAT,,SEDRATE,NEWH,NEWBH,,
-1.76,98,,,,,,,,,,,
-4.08,98.4,,,,,,,,,,,
-4.18,98.7,,,,,,,,,,,
-5.04,99,,,,,,,,,,,
-4.01,99.2,,,,,,,,,,,
-2.92,99.5,,,,,,,,,,,
-5.09,99.8,,,,,,,,,,,
-3.55,99.9,,,,,,,,,,,
-5.76,100.2,,,,,,,,,,,
-4.06,100.4,,,,,,,,,,,
-3.85,100.6,,,,,,,,,,,
-6.55,100.7,,,,,,,,,,,
-6.24,101.1,,,,,,,,,,,
-6.56,101.5,,,,,,,,,,,
-7.56,101.7,,,,,,,,,,,
-7.21,101.9,,,,,,,,,,,
-5.61,102.3,,,,,,,,,,,
-5.63,102.7,,,,,,,,,,,
-5.56,103,,,,,,,,,,,
-3.94,103.7,,,,,,,,,,,
-7.01,104.1,,,,,,,,,,,
-5.87,104.3,,,,,,,,,,,
-5.74,104.7,,,,,,,,,,,
-8.21,104.9,,,,,,,,,,,
-3.85,105.2,,,,,,,,,,,
-4.78,105.3,,,,,,,,,,,
-4.49,105.7,,,,,,,,,,,
-5.34,106,,,,,,,,,,,
-4.53,106.1,,,,,,,,,,,
-4,106.3,,,,,,,,,,,
-4.39,106.8,,,,,,,,,,,
-2.95,107.5,,,,,,,,,,,
-5.51,108,,,,,,,,,,,
-4,108.1,,,,,,,,,,,
-4.1,108.2,,,,,,,,,,,
-6.2,108.3,,,,,,,,,,,
-2.69,108.8,,,,,,,,,,,
-2.54,108.9,,,,,,,,,,,
-2.94,109.1,,,,,,,,,,,
-5.68,109.6,,,,,,,,,,,
-3.24,109.7,,,,,,,,,,,
-5.37,110.1,,,,,,,,,,,
-1.91,110.3,,,,,,,,,,,
-4.8,110.6,,,,,,,,,,,
-3.68,110.9,,,,,,,,,,,
-4.49,111.2,,,,,,,,,,,
-5.6,111.5,,,,,,,,,,,
-2.49,111.7,,,,,,,,,,,
-3.55,111.8,,,,,,,,,,,
-3.62,112.2,,,,,,,,,,,
-6.14,112.6,,,,,,,,,,,
-3.29,112.8,,,,,,,,,,,
